Date,stations_id,qn_6,rs,rsf,sh_tag,nsh_tag,eor,date_from,date_to,altitude,latitude,longitude,name,state,CUM
12/11/2016,3366,9,1.3,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,557.4
12/12/2016,3366,9,0.1,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,557.5
12/13/2016,3366,9,0.1,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,557.6
12/14/2016,3366,9,0,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,557.6
12/15/2016,3366,9,0,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,557.6
12/16/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,557.6
12/17/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,557.6
12/18/2016,3366,9,1.7,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,559.3
12/19/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,559.3
12/20/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,559.3
12/21/2016,3366,9,0,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,559.3
12/22/2016,3366,9,0,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,559.3
12/23/2016,3366,9,0.8,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,560.1
12/24/2016,3366,9,2.3,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,562.4
12/25/2016,3366,9,0,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,562.4
12/26/2016,3366,9,1.2,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,563.6
12/27/2016,3366,9,0,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,563.6
12/28/2016,3366,9,0,4,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,563.6
12/29/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,563.6
12/30/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,563.6
12/31/2016,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,563.6
1/1/2017,3366,9,0,0,,,eor,1/1/1953,6/29/2020,406,48.279,12.5024,Mühldorf,Bayern,563.6
